id. Response ID,submitdate. Date submitted,Month Year[subm...Date submitted],Month[Month Yea...ate submitted]],Year[Month Year...ate submitted]],lastpage. Last page,Carmain,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,"FCV, BEV Dummy",,,,,,,
FCV_1_17,2017/06/02 22:14:38,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,125000,0.85,1,1,3,331.73,0,32.65,2,35,0,2,18600,0,,,,,,,
FCV_1_18,2017/06/02 22:39:10,06/2017,6,2017,42,2017 Toyota Mirai,1,0,1,0,175000,2.65,1,0,4,,0,23.41,2,65,0,2,12040,0,,,,,,,
FCV_1_19,2017/06/03 08:40:47,06/2017,6,2017,42,2017 Honda Clarity,0,1,0,0,175000,2.76,1,1,4,138.6,2,4.42,4,45,0,2,17000,0,,,,,,,
FCV_1_20,2017/06/03 07:35:18,06/2017,6,2017,42,2016 Honda Clarity,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_21,,,,,20,2017 Toyota Mirai,0,0,0,0,,,,,,,,8.15,5,,,4,,0,,,,,,,
FCV_1_22,2017/06/06 12:49:54,06/2017,6,2017,42,1915 Hyundai Tuscon,0,0,1,0,75000,2.6,1,1,4,,0,,3,75,0,4,14672.86957,0,,,,,,,
FCV_1_23,2017/06/04 12:04:35,06/2017,6,2017,42,2016 Hyundai Tuscon FCV,0,0,1,0,75000,-1.74,1,1,3,104.29,1,10.86,1,65,0,1,6770.769231,0,,,,,,,
FCV_1_24,2017/06/30 09:27:58,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,275000,-2.86,1,1,4,161.04,2,5.71,2,65,0,2,10200,0,,,,,,,
FCV_1_25,2017/07/05 22:19:17,07/2017,7,2017,42,2016 Toyota Mirai,1,0,1,0,,1.58,1,1,4,545.88,0,20.63,3,55,0,4,7963.636364,0,,,,,,,
FCV_1_26,,,,,30,2017 Honda Clarity,0,0,1,0,,,,,,494.27,0,,3,55,0,3,,0,,,,,,,
FCV_1_27,2017/06/30 15:43:23,06/2017,6,2017,42,2016 Toyota Mirai,1,1,0,0,325000,1.56,1,1,4,1095.08,50,91.78,2,55,0,3,15000,0,,,,,,,
FCV_1_28,2017/06/06 12:02:51,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,125000,,1,1,3,,0,5.9,2,35,1,2,7500,0,,,,,,,
FCV_1_29,,,,,3,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_30,,,,,3,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_31,2017/06/06 12:02:04,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,,2.92,1,1,4,,0,27,2,65,0,2,8850,0,,,,,,,
FCV_1_32,2017/06/06 13:29:41,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.81,0,1,3,389.91,3,42.81,2,55,0,1,11142.85714,0,,,,,,,
FCV_1_33,2017/06/06 11:41:00,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,75000,2.53,0,0,3,369.29,1,5.8,3,55,1,2,9600,0,,,,,,,
FCV_1_34,2017/06/06 11:42:52,06/2017,6,2017,42,2016 Toyota Mirai,1,0,0,0,425000,-3,1,1,3,134.94,0,2.41,5,45,0,5,8492.307692,0,,,,,,,
FCV_1_35,2017/06/07 13:28:29,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,125000,0.92,0,0,3,112.7,0,7.16,2,55,0,2,13246,0,,,,,,,
FCV_1_36,2017/06/06 11:28:42,06/2017,6,2017,42,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_37,2017/06/06 11:50:02,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.91,1,0,2,1008.22,0,25.86,2,55,1,3,13008,0,,,,,,,
FCV_1_38,2017/06/06 11:53:25,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,175000,2.69,1,1,4,426.14,0,0.73,4,45,0,2,7285.714286,0,,,,,,,
FCV_1_39,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FCV_1_40,2017/07/03 17:38:40,07/2017,7,2017,42,2016 Toyota Mirai,0,0,0,0,475000,2.81,1,1,4,149.24,1,12.89,2,45,1,3,6720,0,,,,,,,
FCV_1_41,2017/06/06 12:53:01,06/2017,6,2017,42,2016 Toyota Mirai,1,0,0,0,325000,2.81,1,0,4,362.67,1,20.37,3,45,1,2,15331.5,0,,,,,,,
FCV_1_42,2017/06/06 12:36:59,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,500000,1.44,0,1,3,26.19,7,,2,65,0,1,10000,0,,,,,,,
FCV_1_266,2017/06/21 13:17:57,06/2017,6,2017,42,2015 Hyundai Tucson fuel cell,1,0,0,0,500000,2.04,1,1,4,72.16,0,47.79,4,45,0,2,16000,0,,,,,,,
FCV_1_44,2017/06/06 12:51:40,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,,2.72,1,1,3,325.92,0,,2,,,2,5220,0,,,,,,,
FCV_1_45,,,,,19,2016 Toyota Mirai,0,0,1,0,,,,,,,,,3,,1,2,,0,,,,,,,
FCV_1_46,2017/06/06 13:42:04,06/2017,6,2017,42,2016 Toyota Mirai,0,1,0,0,325000,2.68,1,1,4,,0,13.15,2,75,0,2,4920,0,,,,,,,
FCV_1_47,2017/06/06 13:31:10,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,,2.78,1,1,4,377.5,0,24.36,2,65,0,4,10542.85714,0,,,,,,,
FCV_1_48,2017/06/06 14:18:19,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,175000,,1,1,4,79.1,0,12.14,2,55,0,3,14000,0,,,,,,,
FCV_1_49,2017/06/06 14:04:44,06/2017,6,2017,42,2016 Toyota Mirai,1,1,0,0,,2.32,1,1,4,138.73,1,,2,65,0,2,8160,0,,,,,,,
FCV_1_50,2017/06/26 14:44:22,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,75000,,0,0,2,252.37,0,26.8,5,35,1,4,14400,0,,,,,,,
FCV_1_51,2017/06/06 15:46:58,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,175000,0.89,1,1,4,335.71,15,113.32,1,65,1,2,11475,0,,,,,,,
FCV_1_52,2017/06/06 15:59:22,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,175000,,0,1,4,339.38,3,12.7,3,45,1,2,5377.5,0,,,,,,,
FCV_1_53,2017/06/06 16:17:56,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,500000,2.87,1,0,4,410.32,0,25.03,4,65,0,5,11032,0,,,,,,,
FCV_1_54,2017/06/06 19:04:15,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,125000,2.72,0,0,4,153.63,9,15.76,1,45,0,2,11440,0,,,,,,,
FCV_1_55,,,,,19,2017 Toyota Mirai,0,0,0,0,,,,,,,,,4,35,0,2,,0,,,,,,,
FCV_1_56,2017/06/06 20:09:49,06/2017,6,2017,42,2017 Toyota Mirai,0,1,0,0,175000,2.63,1,1,3,417.32,0,28.6,4,55,0,3,11333.33333,0,,,,,,,
FCV_1_57,2017/06/06 21:26:05,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,225000,2.55,1,1,4,112.83,5,20.2,2,65,0,2,11621.05263,0,,,,,,,
FCV_1_58,2017/06/06 22:55:02,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,,-1.37,1,1,3,112.15,2,19.54,2,45,0,2,11409.75,0,,,,,,,
FCV_1_59,2017/06/06 23:44:20,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.81,1,1,4,,0,37.27,4,35,0,2,6000,0,,,,,,,
FCV_1_60,2017/06/07 06:12:42,06/2017,6,2017,42,2016 Toyota Mirai,1,0,0,0,225000,1.28,1,1,4,393.02,0,66.35,2,55,1,2,24000,0,,,,,,,
FCV_1_61,2017/06/07 09:41:32,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,500000,2.65,1,1,4,1366.74,0,44.1,5,45,0,5,15000,0,,,,,,,
FCV_1_62,2017/06/07 11:32:57,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,175000,2.63,1,1,4,444.34,2,28.75,1,45,0,1,12461.53846,0,,,,,,,
FCV_1_63,,,,,41,2017 Toyota Mirai,0,0,0,0,175000,0.51,0,0,4,332.69,0,34.96,2,35,0,2,,0,,,,,,,
FCV_1_64,2017/06/08 11:42:05,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,,2.71,1,0,,522.47,8,24.8,1,55,0,1,6461.538462,0,,,,,,,
FCV_1_65,2017/06/07 15:27:55,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,325000,1.54,1,1,4,408.39,0,9.02,4,45,0,2,12000,0,,,,,,,
FCV_1_66,2017/06/07 15:25:46,06/2017,6,2017,42,2017 Toyota Mirai,1,0,1,0,,2.72,1,1,3,291.66,0,2.22,3,65,0,3,-18699,0,,,,,,,
FCV_1_67,2017/06/07 15:55:26,06/2017,6,2017,42,2016 Toyota Mirai,0,1,0,0,500000,0.93,1,1,1,427.28,0,34.17,5,18,0,3,15375,0,,,,,,,
FCV_1_68,2017/06/07 15:31:39,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,175000,,0,0,4,350.57,3,28.35,3,55,0,3,8400,0,,,,,,,
FCV_1_69,,,,,3,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_70,2017/06/07 16:02:55,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,125000,2.34,0,0,2,371.24,2,9.86,2,45,0,2,8666.666667,0,,,,,,,
FCV_1_71,2017/06/07 15:51:44,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,75000,0.96,0,0,3,,0,6.84,1,45,1,1,9480,0,,,,,,,
FCV_1_72,,,,,2,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_73,2017/06/07 15:54:10,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,275000,1.1,1,1,4,71.98,0,16.47,4,45,0,2,12144,0,,,,,,,
FCV_1_74,2017/06/07 15:37:35,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,275000,2.69,1,1,4,446.41,7,6.72,5,55,0,4,17356,0,,,,,,,
FCV_1_75,2017/06/07 15:44:16,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,175000,-2.82,1,1,4,57.32,0,29.6,8,35,0,2,12056,0,,,,,,,
FCV_1_76,2017/06/07 15:56:59,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,225000,2.67,1,1,2,251.11,1,10.3,2,75,0,2,6635.294118,0,,,,,,,
FCV_1_77,2017/06/07 15:38:56,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,225000,1.42,1,1,4,311.19,2,19.33,7,45,0,2,16302,0,,,,,,,
FCV_1_78,2017/06/07 15:43:56,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,125000,2.72,1,1,4,179.67,4,23.06,2,55,0,3,10846.15385,0,,,,,,,
FCV_1_79,2017/06/07 16:00:00,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,500000,2.9,1,1,3,340.33,0,14.15,6,45,0,5,8700,0,,,,,,,
FCV_1_80,2017/06/07 15:50:36,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,275000,2.75,0,0,4,309.73,0,57.39,2,35,0,3,12480,0,,,,,,,
FCV_1_81,2017/06/07 16:06:03,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,,2.93,1,1,4,,0,,2,75,0,2,3248,0,,,,,,,
FCV_1_82,2017/06/07 15:50:39,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,275000,1.64,1,1,4,405.27,0,34.32,3,25,0,4,12000,0,,,,,,,
FCV_1_83,,,,,28,2016 Toyota Mirai,0,0,0,0,,,,,,147.56,0,47.54,4,55,0,4,,0,,,,,,,
FCV_1_84,,,,,6,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_85,2017/06/07 15:56:52,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,175000,1.37,1,1,3,106.27,7,3.33,2,35,0,2,14880,0,,,,,,,
FCV_1_86,2017/06/07 16:41:59,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,275000,1.77,1,1,4,116.55,0,15.57,3,45,0,2,9468,0,,,,,,,
FCV_1_87,,,,,18,2016 Toyota Mirai,0,0,1,0,,,,,,,,,4,35,0,2,,0,,,,,,,
FCV_1_88,,,,,0,-1 -1 -1,,,,,,,,,,,,,,,,1,,,,,,,,,
FCV_1_89,2017/06/07 16:04:47,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,275000,2.56,1,1,4,,0,14.25,2,65,1,2,6004,0,,,,,,,
FCV_1_90,2017/06/07 16:13:04,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,75000,2.42,0,0,3,117.79,3,2.71,1,65,0,2,11640,0,,,,,,,
FCV_1_91,2017/06/07 16:11:22,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,1,,2.69,1,1,,,0,1.68,4,45,0,2,5100,0,,,,,,,
FCV_1_92,2017/06/07 16:57:59,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,175000,,1,1,3,,0,1.27,2,75,0,2,2773.5,0,,,,,,,
FCV_1_93,2017/06/07 16:25:27,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,275000,1.96,1,1,3,228.39,4,11.79,3,65,0,3,7080,0,,,,,,,
FCV_1_94,2017/06/07 16:28:22,06/2017,6,2017,42,2016 Toyota Mirai,0,1,1,0,225000,2.68,1,0,3,109.02,3,53.78,2,45,0,3,11200,0,,,,,,,
FCV_1_95,2017/06/08 08:53:29,06/2017,6,2017,42,2017 Toyota Mirai,1,1,0,0,125000,0.18,1,0,4,383.94,0,42.8,3,55,0,3,9000,0,,,,,,,
FCV_1_96,2017/06/29 15:29:33,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,225000,2.7,1,1,3,396.59,0,18.05,4,45,0,2,15367.5,0,,,,,,,
FCV_1_97,,,,,15,2017 Toyota Mirai,0,0,0,0,,,,,,,,,4,55,0,3,,0,,,,,,,
FCV_1_98,,,,,2,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_99,2017/06/07 16:41:58,06/2017,6,2017,42,2016 Toyota Mirai,0,1,0,0,325000,,1,1,4,450.68,0,24.09,2,45,0,2,13200,0,,,,,,,
FCV_1_100,2017/06/07 16:35:10,06/2017,6,2017,42,2016 Toyota Mirai,1,0,0,0,125000,1.4,0,0,4,119.08,3,31.31,1,35,0,3,22000,0,,,,,,,
FCV_1_101,2017/06/07 16:19:54,06/2017,6,2017,42,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_102,2017/06/07 16:46:56,06/2017,6,2017,42,2016 Toyota Mirai,0,1,0,0,175000,2.78,1,1,4,353.6,0,35.7,3,55,0,3,13400,0,,,,,,,
FCV_1_103,2017/06/07 16:47:06,06/2017,6,2017,42,2016 Toyota Mirai,1,0,1,0,225000,1.62,1,1,3,,0,5.75,2,65,0,2,5478,0,,,,,,,
FCV_1_104,2017/06/07 16:46:30,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,375000,2.68,1,1,4,455.2,0,10.02,3,35,0,3,4500,0,,,,,,,
FCV_1_105,,,,,13,2017 Toyota Mirai,0,0,0,0,,,,,,,,,4,55,0,4,,0,,,,,,,
FCV_1_106,2017/06/07 17:06:46,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,125000,,1,1,3,229.17,0,19.31,6,35,0,3,10506.66667,0,,,,,,,
FCV_1_107,2017/06/07 16:49:08,06/2017,6,2017,42,2016 Toyota Mirai,0,1,0,0,225000,2.78,1,1,3,370.31,5,,4,45,0,2,7200,0,,,,,,,
FCV_1_108,2017/06/07 17:11:22,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,,0,1,1,3,484.65,4,4.13,2,75,0,3,11750,0,,,,,,,
FCV_1_109,2017/06/07 19:48:21,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,175000,2.85,1,1,3,342.92,1,39.33,2,65,0,3,10400,0,,,,,,,
FCV_1_110,,,,,34,2017 Toyota Mirai,0,0,1,0,,,,,,101.69,0,3.52,4,45,0,2,,0,,,,,,,
FCV_1_111,2017/06/07 17:10:06,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.29,1,1,3,471.39,0,21.75,2,65,0,2,11492.57143,0,,,,,,,
FCV_1_112,2017/06/07 17:03:26,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,175000,2.59,1,1,3,616.8,0,20.34,5,55,0,4,9840,0,,,,,,,
FCV_1_114,2017/07/17 12:06:23,07/2017,7,2017,42,2016 Toyota Mirai,,,,,225000,2.49,1,0,4,63.84,10,,1,55,0,1,10363.63636,0,,,,,,,
FCV_1_115,2017/06/07 17:23:48,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,275000,,1,1,4,340.84,130,9.58,2,65,0,2,7548,0,,,,,,,
FCV_1_116,,,,,9,2016 Toyota Mirai,0,1,1,0,,,,,,,,,,,,5,,0,,,,,,,
FCV_1_117,2017/06/07 17:55:15,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,475000,2.65,1,1,4,103.52,0,30.84,5,45,0,2,8494.5,0,,,,,,,
FCV_1_118,2017/06/07 18:13:54,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,275000,2.73,1,1,4,340.25,18,9.01,2,55,0,2,9428.4,0,,,,,,,
FCV_1_119,,,,,3,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_120,2017/06/08 03:56:45,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,225000,2.78,1,0,2,260.77,0,24.06,2,65,0,2,10661.53846,0,,,,,,,
FCV_1_121,2017/06/07 19:14:03,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,125000,2.19,1,1,3,39.56,40,2.39,8,65,0,4,5333.333333,0,,,,,,,
FCV_1_122,2017/06/07 20:23:12,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,125000,2.34,0,1,2,284.56,0,25.96,4,45,0,4,14590,0,,,,,,,
FCV_1_123,,,,,25,2017 Toyota Mirai,0,1,0,0,,,,,,,,6.59,2,55,0,2,,0,,,,,,,
FCV_1_124,2017/06/07 21:07:31,06/2017,6,2017,42,2017 Honda Clarity,0,0,0,0,275000,1.57,1,1,3,198.31,1,22.72,2,55,0,3,9820.8,0,,,,,,,
FCV_1_125,,,,,3,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_126,2017/06/07 19:55:45,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,225000,-2.99,1,1,4,438.41,1,8.16,2,65,0,5,5871.428571,0,,,,,,,
FCV_1_129,2017/06/07 20:40:00,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,175000,2.79,1,1,3,455.17,5,18.94,3,55,1,3,16219.38462,0,,,,,,,
FCV_1_128,2017/06/07 20:58:12,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,,1.5,0,1,4,522.51,2,15.03,2,80,0,2,10176,0,,,,,,,
FCV_1_130,2017/06/07 20:40:21,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,275000,2.77,0,1,3,351.11,1,1.1,4,45,0,2,8400,0,,,,,,,
FCV_1_131,2017/06/07 20:53:11,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,125000,2.78,1,1,3,199.82,0,5.49,2,65,0,2,4120,0,,,,,,,
FCV_1_132,2017/06/07 20:55:51,06/2017,6,2017,42,2017 Toyota Mirai,1,0,1,0,425000,2.84,1,1,4,,0,18.66,3,45,0,2,6000,0,,,,,,,
FCV_1_133,2017/06/07 21:32:45,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,1,275000,1.11,1,1,4,117.46,6,22.01,3,65,0,3,12369.23077,0,,,,,,,
FCV_1_134,2017/06/07 21:45:32,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,175000,1.58,1,1,3,266.4,2,0.76,5,35,0,3,12000,0,,,,,,,
FCV_1_135,2017/06/07 21:34:32,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,,2.91,1,1,4,,0,3.46,2,75,0,3,1560,0,,,,,,,
FCV_1_136,,,,,19,2016 Toyota Mirai,0,1,1,0,,,,,,,,,3,65,0,5,,0,,,,,,,
FCV_1_137,2017/06/08 05:51:42,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,75000,2.82,1,1,3,,0,7.9,1,35,1,1,14760,0,,,,,,,
FCV_1_138,2017/06/10 07:45:48,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,,1.85,1,1,4,336.67,0,14.74,2,65,0,2,9936,0,,,,,,,
FCV_1_139,2017/06/08 16:01:30,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,175000,2.49,0,1,4,434.39,0,36.07,2,55,1,2,16188,0,,,,,,,
FCV_1_140,2017/06/07 21:58:28,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,,2.75,1,1,3,229.42,2,4.67,2,55,1,2,7200,0,,,,,,,
FCV_1_141,2017/06/07 22:39:06,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,475000,,1,1,3,192.13,0,3.96,4,65,0,5,10400,0,,,,,,,
FCV_1_142,2017/06/07 22:54:02,06/2017,6,2017,42,2016 Toyota Mirai,1,0,1,0,125000,1.55,1,1,3,56.95,0,0.1,4,55,0,2,7521.6,0,,,,,,,
FCV_1_143,,,,,10,2017 Toyota Mirai,0,0,0,0,,,,,,,,,,,,4,,0,,,,,,,
FCV_1_144,2017/06/07 23:35:53,06/2017,6,2017,42,2017 Toyota Mirai,1,0,0,0,225000,2.6,1,1,3,78.25,0,13.31,3,45,1,2,10714.28571,0,,,,,,,
FCV_1_145,2017/06/26 05:21:41,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,75000,2.77,0,0,3,426.1,7,20.32,1,65,0,2,15396,0,,,,,,,
FCV_1_146,2017/06/09 06:06:54,06/2017,6,2017,42,2016 Toyota Mirai,0,0,1,0,125000,2.72,1,1,3,226.02,6,12.87,2,55,1,2,16200,0,,,,,,,
FCV_1_147,2017/06/08 06:46:04,06/2017,6,2017,42,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_148,2017/06/08 07:36:31,06/2017,6,2017,42,2017 Toyota Mirai,1,1,0,0,125000,2.9,1,1,2,272.9,4,24.72,2,55,0,2,124696,0,,,,,,,
FCV_1_149,2017/06/08 08:26:22,06/2017,6,2017,42,2016 Toyota Mirai,0,0,0,0,425000,-3,1,1,4,297.43,0,39.77,4,35,0,2,19950,0,,,,,,,
FCV_1_150,2017/06/08 08:48:22,06/2017,6,2017,42,2017 Toyota Mirai,1,1,0,0,125000,2.86,1,1,4,516.46,3,5.83,2,65,0,2,6960,0,,,,,,,
FCV_1_151,2017/06/08 08:54:37,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,325000,-1.85,1,1,4,,0,14.6,2,35,0,2,8000,0,,,,,,,
FCV_1_152,2017/06/08 11:05:20,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,175000,0.39,1,1,3,153,0,43.23,4,55,0,4,8970,0,,,,,,,
FCV_1_153,,,,,32,2016 Toyota Mirai,0,0,0,0,,,,,,88.71,0,38.55,3,45,0,2,,0,,,,,,,
FCV_1_154,2017/06/08 10:19:32,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,125000,2.52,1,1,2,179.06,0,10.8,1,65,0,2,12688,0,,,,,,,
FCV_1_155,2017/06/08 10:39:17,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,,2.8,1,1,4,,0,14.58,2,65,0,5,15000,0,,,,,,,
FCV_1_156,2017/06/08 10:36:36,06/2017,6,2017,42,2017 Toyota Mirai,0,0,1,0,225000,-3,1,1,3,230.34,0,1.19,2,55,0,2,5352,0,,,,,,,
FCV_1_157,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FCV_1_158,2017/06/08 11:09:49,06/2017,6,2017,42,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0,,,,,,,
FCV_1_159,2017/06/08 12:42:24,06/2017,6,2017,42,2017 Toyota Mirai,0,1,0,0,275000,1.27,1,0,3,485.37,0,,2,65,0,3,13200,0,,,,,,,
FCV_1_160,2017/06/08 13:38:14,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,175000,0,0,0,3,373.11,1,24.21,2,35,1,2,11850,0,,,,,,,
FCV_1_161,2017/06/08 15:23:17,06/2017,6,2017,42,2017 Toyota Mirai,0,0,0,0,75000,2.74,1,1,4,184.02,4,,2,65,1,2,5148,0,,,,,,,
